id,question,title,authors,subjects,grade
REL-0001,Can you point me to a book in this collection that's a novel about social life and customs in New York City?,East of Eden,"Glenn, Isa",New York (N.Y.) -- Fiction; Spouses -- Fiction; Women novelists -- Fiction,1
REL-0002,Do you have any books in this collection that are adventure fiction?,Children's books and reading,"Moses, Montrose Jonas",Children -- Books and reading; Children's literature -- Bibliography; Children's literature -- History and criticism,0
REL-0003,Can you point me to a book in this collection that deals with the theme of divorce as a fictional story?,The World Set Free,"Wells, H. G. (Herbert George)",Imaginary wars and battles -- Fiction; Nuclear warfare -- Fiction,0
REL-0004,Could you help me locate a cookbook in this library that focuses on American cuisine?,Elements of Plumbing,"Dibble, Samuel Edward","Plumbing -- Handbooks, manuals, etc.",0
REL-0005,Can you point me to a book in this collection that's a novel about social life and customs in New York City?,The Four Million,"Henry, O.",New York (N.Y.) -- Social life and customs -- Fiction,2
REL-0006,Do you have any books here on German philosophy?,Essays of Schopenhauer,"Schopenhauer, Arthur",,2
REL-0007,I'm looking for a book on poetry—do you have any in this collection?,Robert Burns,"Shairp, John Campbell","Poets, Scottish -- 18th century -- Biography; Scotland -- In literature",1
REL-0008,Can you point me to a book in this collection that's a novel about social life and customs in New York City?,Children of the Tenements,"Riis, Jacob A. (Jacob August)",New York (N.Y.) -- Fiction; Tenement houses -- Fiction,2
REL-0009,Could you help me locate a cookbook in this library that focuses on American cuisine?,The Crimson Gardenia and Other Tales of Adventure,"Beach, Rex",,2
REL-0010,Do you have a novel in this collection that's about Belgians in England?,The Mysterious Affair at Styles,"Christie, Agatha","Belgians -- England -- Fiction; Poirot, Hercule (Fictitious character) -- Fiction; Private investigators -- England -- Fiction",2
REL-0011,I'm looking for a psychology book that's available in this collection.,Amusement: A Force in Christian Training,"Vincent, Marvin R.",Amusements -- Religious aspects,0
REL-0012,I'm looking for a book in this collection that discusses capitalism. Can you point me to one?,The Theory of the Leisure Class,"Veblen, Thorstein",,2
REL-0013,I'm looking for a book on poetry—do you have any in this collection?,Ionica,"Cory, William Johnson",,2
REL-0014,Is there a book in this collection that deals with ethics from before the 1800s?,The Tapestry Book,"Candee, Helen Churchill",,0
REL-0015,"Can you find a book in this collection that focuses on the church history of London, England?","Bell's Cathedrals: The Priory Church of St. Bartholomew-the-Great, Smithfield: A Short History of the Foundation and a Description of the; Fabric and also of the Church of St. Bartholomew-the-Less","Worley, George",London (England) -- Church history,2
REL-0016,"I'm looking for a book in this collection that covers law in ancient Babylonia, specifically with sources from that region.",The Mistress of Shenstone,"Barclay, Florence L. (Florence Louisa)",,0
REL-0017,I'm looking for a psychology book that's available in this collection.,Margarita's Soul: The Romantic Recollections of a Man of Fifty,"Bacon, Josephine Daskam",,0
REL-0018,Can you point me to a book in this collection that deals with needlework?,The Book of the Courtier,"Castiglione, Baldassarre, conte",Courtesy -- Early works to 1800; Courts and courtiers -- Early works to 1800,0
REL-0019,Can you point me to a book in this collection that's a novel about social life and customs in New York City?,In Kings' Byways,"Weyman, Stanley John",France -- Fiction,0
REL-0020,I'm looking for a book in this collection that deals with adaptations of Arthurian romances—can you point me to it?,A Tramp Abroad,"Twain, Mark",Americans -- Europe -- Fiction; Europe -- Fiction; Walking -- Fiction,0
REL-0021,I'm looking for a psychology book that's available in this collection.,Psychology: Briefer Course,"James, William",,2
REL-0022,I'm looking for a book on poetry—do you have any in this collection?,"The Principles of Psychology, Volume 1 (of 2)","James, William",,0
